VILLCODE,CODE1,COUNTY,TOWN,VILLAGE,household_no,factory_count,store_count,school_count,monthly_water_usage,hospital_count,people_total,yyyymm_key,lon,lat,predicted_water_usage,actual_predicted_ratio,cluster
A6511-027-00,A6511-12-013,新北市,汐止區,湖光里,140,0.0,1.0,0.0,9549.0,0.0,269,201604,121.63198890941452,25.076022340156335,4564.558531377324,2.0919876334938037,5
A6511-030-00,A6511-49-004,新北市,汐止區,忠孝里,142,0.0,1.0,0.0,7183.0,0.0,386,201604,121.64168109548508,25.06463022697771,4610.001402388518,1.5581340162452813,5
A6511-030-00,A6511-57-003,新北市,汐止區,忠孝里,155,0.0,1.0,0.0,7402.0,0.0,317,201604,121.64209939796342,25.063024137391064,4905.380063961287,1.5089554537029275,5
A6511-031-00,A6511-55-007,新北市,汐止區,自強里,163,0.0,1.0,0.0,6740.0,0.0,445,201604,121.65668712494238,25.061869171400815,5087.151548006068,1.3249064700346451,5
A6511-032-00,A6511-66-005,新北市,汐止區,文化里,289,15.0,4.0,0.0,10659.0,0.0,562,201604,121.64951514282271,25.058220302095897,8237.146617655784,1.2940160585648837,3
A6511-033-00,A6511-16-015,新北市,汐止區,金龍里,160,0.0,1.0,0.0,7924.0,0.0,363,201604,121.63266923413234,25.06801369373889,5018.987241489274,1.5788045712681922,5
A6511-035-00,A6511-45-001,新北市,汐止區,興福里,132,0.0,1.0,0.0,6621.0,0.0,287,201604,121.6365080764228,25.066012052561874,4382.787047332543,1.5106825699025648,5
A6511-038-00,A6511-60-007,新北市,汐止區,環河里,55,72.0,1.0,0.0,7599.0,0.0,113,201604,121.62583666317316,25.060191732843894,4011.2886539347182,1.8944036831022009,1
A6511-038-00,A6511-60-010,新北市,汐止區,環河里,160,217.0,2.0,0.0,14358.0,0.0,388,201604,121.62813326951536,25.058767349217884,9172.283276151815,1.5653681387415486,2
A6511-041-00,A6511-43-003,新北市,汐止區,大同里,171,0.0,1.0,0.0,7027.0,0.0,430,201604,121.65646932798875,25.066250262149556,5268.9230320508495,1.333669130722687,5
A6511-041-00,A6511-43-009,新北市,汐止區,大同里,133,0.0,1.0,0.0,5654.5,0.0,290,201604,121.65260624408538,25.064419107898196,4405.50848283814,1.2835067783951306,5
A6511-043-00,A6511-09-008,新北市,汐止區,湖興里,206,0.0,1.0,0.0,10094.0,0.0,473,201604,121.6387136551129,25.079415944899072,6064.173274746765,1.66453027357163,5
A6511-045-00,A6511-42-005,新北市,汐止區,福安里,202,0.0,1.0,0.0,8124.0,0.0,499,201604,121.66238902700073,25.06558304182001,5973.2875327243755,1.3600550710966193,5
A6513-003-00,A6513-59-002,新北市,土城區,員林里,198,0.0,1.0,0.0,8835.0,0.0,534,201604,121.4426351028932,24.9774418926496,5882.401790701984,1.501937527280955,5
A6513-004-00,A6513-62-010,新北市,土城區,員仁里,86,64.0,2.0,0.0,6070.0,0.0,254,201604,121.43386153291385,24.971523748658377,4562.5362501045565,1.3304003885691644,1
A6513-006-00,A6513-10-012,新北市,土城區,日新里,161,1.0,1.0,0.0,6626.0,0.0,469,201604,121.4451362020115,24.986703862169826,5060.848290057835,1.3092666723515396,5
A6513-006-00,A6513-26-003,新北市,土城區,日新里,33,42.0,1.0,0.0,12196.0,0.0,97,201604,121.44303647046961,24.98756474782525,2937.2286809227426,4.1522133020192955,1
A6513-008-00,A6513-06-008,新北市,土城區,貨饒里,187,0.0,1.0,0.0,7331.0,0.0,492,201604,121.4497135777422,24.98967599739946,5632.466000140412,1.3015613409503484,5
